               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095238,            0.028057,            0.025858,             0.30117,             0.38095,             0.22065,            0.055568,            0.077202,            0.014302,           0.0040583,            0.070435,            0.003285,            0.003285
                   1,            0.066508,            0.024717,           0.0034317,              0.5494,             0.38095,             0.36454,             0.11924,            0.062541,           0.0094728,           0.0013071,            0.039124,           0.0053079,           0.0053079
                   2,            0.059901,            0.021181,           0.0020017,             0.61038,             0.47619,              0.5505,             0.26287,            0.050822,            0.007588,           0.0012538,           0.0064939,           0.0060108,           0.0060108
                   3,            0.051616,            0.021134,           0.0017815,             0.80704,             0.71429,              0.7428,             0.37135,            0.039585,           0.0073071,           0.0011385,             0.00406,             0.00406,             0.00406
                   4,            0.047553,            0.019799,           0.0013995,             0.70818,             0.69393,             0.66244,             0.40519,             0.04142,           0.0072617,           0.0010836,             0.00406,             0.00406,             0.00406
